,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
CP_62,319.3981636,347.7841445,56.21318274,4.693744881,2190.637789,0
CP_96,400.5688423,796.3579436,205.5288591,0.0,2195.361554,0
CP_019,110.8024181,227.2436362,149.4282,0.0,2224.225,0
CP_75,494.7111274,510.6020111,175.2828899,0.107370836,2264.075136,0
CP_60,337.2392095,276.3945674,58.09839439,1.342609954,2272.001181,0
CP_002,341.8004722,627.7845373,59.8676,1.050308738,2321.482,0
N_072,521.8760449,629.5074788,67.36865,2.244154999,2419.331,0
CP_99,393.9078849,517.4483789,204.6752233,0.0,2478.286042,0
CP_74,608.7198745,385.8999077,236.7650449,0.0,2548.204778,0
CP_98,503.8959041,671.8354557,347.6209671,0.077249104,2558.799314,0
CP_91,169.0040356,443.0967723,41.47064725,0.0,3042.815842,0
