,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
CP_64,337.5727667,333.5922165,124.3369067,0.386997931,1611.956953,0
CP_67,533.9548366,672.7603391,204.6199652,3.063173132,1663.39053,0
N_075,424.9117384,519.7834286,152.2072,0.0,1703.617,0
CP_58,817.3585069,443.1406486,49.11035671,0.0,1737.221497,0
CP_71,393.4504867,428.591301,132.0788084,0.0,1789.712175,0
CP_72,771.9661335,315.0327401,27.90894074,0.0,1827.975209,0
N_021,432.5322029,390.0937444,152.2542,0.0,1880.187,0
CP_79,440.9631729,510.7960025,232.5028873,0.0,2045.424343,0
CP_035,203.9152386,306.2856418,268.3095,0.0,2114.774,0
CP_68,620.1854514,348.7019118,83.58550099,0.0,2210.274297,0
CP_63,432.3641465,407.9667585,65.34256974,0.0,2324.328552,0
N_066,335.9712799,475.6206324,8.579912,0.0,2914.009,0
